 x(m), density, u, p, T
   6.68894686E-03 ,   2.49579191     ,   215.795151     ,   2.25296021     ,   318.524689    
   2.00668722E-02 ,   2.49579120     ,   215.795227     ,   2.25295997     ,   318.524780    
   3.34447995E-02 ,   2.49579000     ,   215.795258     ,   2.25295949     ,   318.524841    
   4.68227267E-02 ,   2.49578881     ,   215.795258     ,   2.25295973     ,   318.525024    
   6.02006540E-02 ,   2.49578786     ,   215.795273     ,   2.25295997     ,   318.525208    
   7.35785812E-02 ,   2.49578691     ,   215.795288     ,   2.25295997     ,   318.525330    
   8.69565010E-02 ,   2.49578619     ,   215.795319     ,   2.25295973     ,   318.525391    
  0.100334428     ,   2.49578571     ,   215.795364     ,   2.25295925     ,   318.525360    
  0.113712355     ,   2.49578547     ,   215.795380     ,   2.25295925     ,   318.525391    
  0.127090290     ,   2.49578547     ,   215.795380     ,   2.25295973     ,   318.525452    
  0.140468210     ,   2.49578547     ,   215.795334     ,   2.25295973     ,   318.525482    
  0.153846130     ,   2.49578500     ,   215.795319     ,   2.25296021     ,   318.525604    
  0.167224064     ,   2.49578404     ,   215.795288     ,   2.25296068     ,   318.525757    
  0.180601984     ,   2.49578285     ,   215.795242     ,   2.25296044     ,   318.525909    
  0.193979919     ,   2.49578166     ,   215.795242     ,   2.25296092     ,   318.526123    
  0.207357839     ,   2.49578094     ,   215.795212     ,   2.25296116     ,   318.526276    
  0.220735773     ,   2.49577999     ,   215.795227     ,   2.25296116     ,   318.526367    
  0.234113693     ,   2.49577928     ,   215.795212     ,   2.25296187     ,   318.526550    
  0.247491628     ,   2.49577808     ,   215.795258     ,   2.25296187     ,   318.526703    
  0.260869533     ,   2.49577737     ,   215.795273     ,   2.25296235     ,   318.526886    
  0.274247468     ,   2.49577618     ,   215.795227     ,   2.25296259     ,   318.527069    
  0.287625402     ,   2.49577498     ,   215.795166     ,   2.25296330     ,   318.527344    
  0.301003337     ,   2.49577332     ,   215.795166     ,   2.25296354     ,   318.527557    
  0.314381242     ,   2.49577117     ,   215.795151     ,   2.25296354     ,   318.527832    
  0.327759176     ,   2.49576831     ,   215.795105     ,   2.25296354     ,   318.528198    
  0.341137111     ,   2.49576521     ,   215.795029     ,   2.25296426     ,   318.528717    
  0.354515016     ,   2.49576116     ,   215.795013     ,   2.25296474     ,   318.529297    
  0.367892951     ,   2.49575758     ,   215.794983     ,   2.25296474     ,   318.529755    
  0.381270885     ,   2.49575400     ,   215.794952     ,   2.25296521     ,   318.530273    
  0.394648820     ,   2.49575043     ,   215.794968     ,   2.25296521     ,   318.530731    
  0.408026725     ,   2.49574661     ,   215.794952     ,   2.25296569     ,   318.531281    
  0.421404660     ,   2.49574232     ,   215.794937     ,   2.25296617     ,   318.531891    
  0.434782594     ,   2.49573731     ,   215.794952     ,   2.25296593     ,   318.532501    
  0.448160529     ,   2.49573231     ,   215.794937     ,   2.25296640     ,   318.533203    
  0.461538434     ,   2.49572635     ,   215.794968     ,   2.25296640     ,   318.533966    
  0.474916369     ,   2.49571943     ,   215.794922     ,   2.25296640     ,   318.534851    
  0.488294303     ,   2.49571157     ,   215.794922     ,   2.25296688     ,   318.535919    
  0.501672208     ,   2.49570298     ,   215.794830     ,   2.25296760     ,   318.537140    
  0.515050173     ,   2.49569392     ,   215.794785     ,   2.25296855     ,   318.538391    
  0.528428078     ,   2.49568486     ,   215.794739     ,   2.25296926     ,   318.539673    
  0.541805983     ,   2.49567533     ,   215.794739     ,   2.25296974     ,   318.540955    
  0.555183947     ,   2.49566388     ,   215.794693     ,   2.25296974     ,   318.542419    
  0.568561852     ,   2.49564767     ,   215.794708     ,   2.25296926     ,   318.544434    
  0.581939757     ,   2.49562550     ,   215.794708     ,   2.25296926     ,   318.547241    
  0.595317721     ,   2.49559474     ,   215.794724     ,   2.25296974     ,   318.551208    
  0.608695626     ,   2.49555326     ,   215.794769     ,   2.25296998     ,   318.556580    
  0.622073531     ,   2.49550152     ,   215.794739     ,   2.25297022     ,   318.563202    
  0.635451496     ,   2.49544168     ,   215.794739     ,   2.25297022     ,   318.570831    
  0.648829401     ,   2.49537849     ,   215.794693     ,   2.25297022     ,   318.578888    
  0.662207365     ,   2.49531841     ,   215.794708     ,   2.25296998     ,   318.586548    
  0.675585270     ,   2.49526715     ,   215.794662     ,   2.25297022     ,   318.593109    
  0.688963175     ,   2.49522781     ,   215.794708     ,   2.25297093     ,   318.598236    
  0.702341139     ,   2.49519777     ,   215.794724     ,   2.25297117     ,   318.602112    
  0.715719044     ,   2.49516964     ,   215.794785     ,   2.25297141     ,   318.605743    
  0.729096949     ,   2.49512935     ,   215.794846     ,   2.25297117     ,   318.610870    
  0.742474914     ,   2.49505901     ,   215.794876     ,   2.25297117     ,   318.619812    
  0.755852818     ,   2.49490857     ,   215.794907     ,   2.25297070     ,   318.639008    
  0.769230723     ,   2.49446869     ,   215.794937     ,   2.25297093     ,   318.695221    
  0.782608688     ,   2.49282670     ,   215.794968     ,   2.25297046     ,   318.905060    
  0.795986593     ,   2.48597121     ,   215.794998     ,   2.25297046     ,   319.784485    
  0.809364498     ,   2.45798230     ,   215.795029     ,   2.25297022     ,   323.425842    
  0.822742462     ,   2.40305185     ,   215.795105     ,   2.25297046     ,   330.818909    
  0.836120367     ,   2.33862972     ,   215.795151     ,   2.25297022     ,   339.931976    
  0.849498332     ,   2.27490354     ,   215.795258     ,   2.25296998     ,   349.454315    
  0.862876236     ,   2.21786928     ,   215.795303     ,   2.25296974     ,   358.440765    
  0.876254141     ,   2.17079425     ,   215.795303     ,   2.25297022     ,   366.213837    
  0.889632106     ,   2.13469911     ,   215.795334     ,   2.25297022     ,   372.406128    
  0.903010011     ,   2.10897779     ,   215.795334     ,   2.25297022     ,   376.947968    
  0.916387916     ,   2.09199810     ,   215.795425     ,   2.25296950     ,   380.007385    
  0.929765880     ,   2.08174419     ,   215.795532     ,   2.25296926     ,   381.879120    
  0.943143785     ,   2.07601023     ,   215.795624     ,   2.25296831     ,   382.933685    
  0.956521690     ,   2.07283711     ,   215.795700     ,   2.25296807     ,   383.519867    
  0.969899654     ,   2.07109284     ,   215.795654     ,   2.25296807     ,   383.842865    
  0.983277559     ,   2.07014084     ,   215.795685     ,   2.25296879     ,   384.019501    
  0.996655464     ,   2.06962419     ,   215.795700     ,   2.25296879     ,   384.115387    
   1.01003337     ,   2.06934524     ,   215.795731     ,   2.25296855     ,   384.167114    
   1.02341139     ,   2.06919527     ,   215.795776     ,   2.25296855     ,   384.194946    
   1.03678930     ,   2.06911421     ,   215.795792     ,   2.25296831     ,   384.209961    
   1.05016720     ,   2.06907105     ,   215.795822     ,   2.25296879     ,   384.218048    
   1.06354511     ,   2.06904793     ,   215.795868     ,   2.25296950     ,   384.222443    
