 x, u(initial), v, u(Exact), v, u(Comp), v
 -0.509999990     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
 -0.500000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
 -0.490000010     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
 -0.480000019     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
 -0.470000029     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
 -0.460000038     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
 -0.449999988     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
 -0.439999998     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
 -0.430000007     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
 -0.420000017     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
 -0.410000026     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
 -0.400000036     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
 -0.389999986     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
 -0.379999995     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
 -0.370000005     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
 -0.360000014     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
 -0.350000024     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
